epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.716,1.67773,0.8965,1.09993,0.96777,0.98355,0.9888,0.53334,1.51416,0.71294,1.12301,0.000498156,0.000498156,0.000498156
43,144.987,1.66731,0.89836,1.11131,0.96039,0.97394,0.98434,0.51569,1.56539,0.73713,1.14248,0.000495063,0.000495063,0.000495063
44,148.271,1.62625,0.86646,1.08948,0.95699,0.96536,0.96596,0.48088,1.65771,0.75313,1.19252,0.000491969,0.000491969,0.000491969
45,151.534,1.67119,0.88446,1.11167,0.95404,0.97685,0.97936,0.46599,1.71373,0.76595,1.18742,0.000488875,0.000488875,0.000488875
46,154.837,1.66929,0.8825,1.09802,0.98025,0.98862,0.98814,0.54807,1.47479,0.69499,1.11604,0.000485781,0.000485781,0.000485781
47,158.113,1.62641,0.86333,1.08593,0.97476,0.98019,0.98605,0.54021,1.46327,0.68185,1.11736,0.000482687,0.000482687,0.000482687
48,161.403,1.62653,0.86225,1.09681,0.97711,0.9858,0.9843,0.518,1.54519,0.70767,1.14365,0.000479594,0.000479594,0.000479594
49,164.662,1.65468,0.88101,1.11215,0.97349,0.98932,0.98695,0.52544,1.50285,0.69435,1.12569,0.0004765,0.0004765,0.0004765
50,167.959,1.62007,0.86302,1.08409,0.91025,0.94635,0.93416,0.41181,1.77335,0.76437,1.22471,0.000473406,0.000473406,0.000473406
51,171.254,1.63458,0.86955,1.1002,0.97262,0.98443,0.98132,0.51059,1.48939,0.70706,1.11821,0.000470312,0.000470312,0.000470312
52,174.609,1.64025,0.8654,1.11877,0.9685,0.98424,0.98368,0.54423,1.48863,0.69754,1.12477,0.000467219,0.000467219,0.000467219
53,177.872,1.62429,0.85374,1.10786,0.97533,0.98355,0.98293,0.53598,1.45488,0.68637,1.11136,0.000464125,0.000464125,0.000464125
54,181.13,1.60583,0.84111,1.09759,0.96226,0.97706,0.97927,0.49515,1.52943,0.6963,1.13837,0.000461031,0.000461031,0.000461031
55,184.383,1.63413,0.86207,1.11372,0.96004,0.97511,0.97312,0.4834,1.60849,0.70789,1.1682,0.000457938,0.000457938,0.000457938
56,187.666,1.63181,0.856,1.09402,0.97247,0.98439,0.98754,0.52346,1.52971,0.66109,1.13837,0.000454844,0.000454844,0.000454844
57,190.915,1.60985,0.84005,1.10528,0.97243,0.97893,0.97925,0.49254,1.58661,0.69049,1.16324,0.00045175,0.00045175,0.00045175
58,194.184,1.60523,0.84432,1.08578,0.97299,0.98519,0.98249,0.51944,1.51808,0.67431,1.13911,0.000448656,0.000448656,0.000448656
59,197.477,1.58682,0.84144,1.07589,0.97532,0.98606,0.98572,0.52964,1.49764,0.67236,1.12188,0.000445562,0.000445562,0.000445562
60,200.747,1.60222,0.83268,1.10719,0.97393,0.97722,0.98378,0.53245,1.54802,0.6934,1.15353,0.000442469,0.000442469,0.000442469
61,204.041,1.6032,0.83838,1.08465,0.97018,0.98248,0.9831,0.5303,1.49537,0.6719,1.1242,0.000439375,0.000439375,0.000439375
62,207.406,1.57964,0.82213,1.07717,0.9681,0.98312,0.98512,0.52933,1.49046,0.66295,1.13755,0.000436281,0.000436281,0.000436281
63,210.637,1.56512,0.82219,1.09619,0.96956,0.98223,0.98476,0.52782,1.47853,0.6466,1.12162,0.000433187,0.000433187,0.000433187
64,213.901,1.59106,0.81919,1.0809,0.95721,0.97057,0.97351,0.48799,1.67052,0.67949,1.19379,0.000430094,0.000430094,0.000430094
65,217.149,1.61589,0.82132,1.10399,0.95627,0.97546,0.98174,0.51943,1.51142,0.66639,1.13356,0.000427,0.000427,0.000427
66,220.462,1.58113,0.82565,1.06692,0.96848,0.98453,0.98579,0.53457,1.48571,0.65648,1.1286,0.000423906,0.000423906,0.000423906
67,223.745,1.59804,0.81278,1.08548,0.97627,0.98074,0.98681,0.53848,1.48771,0.65557,1.12948,0.000420812,0.000420812,0.000420812
68,227.053,1.54904,0.80195,1.06735,0.9653,0.98645,0.98651,0.54065,1.50204,0.65232,1.12939,0.000417719,0.000417719,0.000417719
69,230.337,1.54174,0.78994,1.07475,0.97626,0.98604,0.98645,0.53542,1.52119,0.66313,1.13733,0.000414625,0.000414625,0.000414625
70,233.604,1.56489,0.79291,1.07565,0.97494,0.98517,0.98723,0.52407,1.55056,0.66789,1.14344,0.000411531,0.000411531,0.000411531
71,236.907,1.56344,0.79802,1.07537,0.98053,0.97992,0.98663,0.55302,1.49908,0.64563,1.12231,0.000408438,0.000408438,0.000408438
72,240.304,1.57542,0.81611,1.07118,0.96662,0.98354,0.98501,0.52679,1.58933,0.67006,1.16235,0.000405344,0.000405344,0.000405344
73,243.577,1.58571,0.81296,1.0848,0.96378,0.9821,0.98508,0.5052,1.59931,0.68171,1.17195,0.00040225,0.00040225,0.00040225
74,246.834,1.55226,0.79893,1.09476,0.97289,0.98441,0.98614,0.52728,1.55589,0.64581,1.15336,0.000399156,0.000399156,0.000399156
75,250.067,1.547,0.77682,1.07827,0.97863,0.98459,0.98605,0.53641,1.48158,0.62145,1.12482,0.000396063,0.000396063,0.000396063
76,253.34,1.57329,0.78913,1.07336,0.97632,0.98602,0.98603,0.53957,1.4463,0.62503,1.11421,0.000392969,0.000392969,0.000392969
77,256.609,1.55662,0.80358,1.08668,0.97578,0.98517,0.98589,0.53896,1.48158,0.63599,1.13169,0.000389875,0.000389875,0.000389875
78,259.85,1.50489,0.74807,1.04826,0.9747,0.97847,0.9847,0.50819,1.5545,0.6316,1.15768,0.000386781,0.000386781,0.000386781
79,263.126,1.52791,0.77319,1.0716,0.97206,0.98539,0.98876,0.5303,1.53615,0.62004,1.15055,0.000383688,0.000383688,0.000383688
80,266.374,1.569,0.77801,1.07043,0.96385,0.96212,0.96783,0.46873,1.67392,0.65689,1.19077,0.000380594,0.000380594,0.000380594
81,269.648,1.5336,0.76428,1.05821,0.97234,0.98516,0.98473,0.52829,1.48673,0.62342,1.12823,0.0003775,0.0003775,0.0003775
82,273.001,1.54075,0.76979,1.06844,0.97865,0.97907,0.98735,0.52302,1.56603,0.63248,1.15826,0.000374406,0.000374406,0.000374406
83,276.287,1.5032,0.74956,1.05413,0.96595,0.98097,0.9879,0.53459,1.52839,0.62666,1.14418,0.000371313,0.000371313,0.000371313
84,279.571,1.49214,0.74035,1.04457,0.9719,0.97553,0.98594,0.51073,1.58636,0.63283,1.16087,0.000368219,0.000368219,0.000368219
85,282.808,1.51026,0.74436,1.06277,0.97612,0.96904,0.98648,0.53502,1.50016,0.61445,1.13557,0.000365125,0.000365125,0.000365125
86,286.055,1.49521,0.7348,1.05513,0.97239,0.98451,0.98489,0.53356,1.50331,0.62609,1.13255,0.000362031,0.000362031,0.000362031
87,289.297,1.46267,0.72428,1.06386,0.96228,0.97456,0.9812,0.51456,1.6034,0.62607,1.18091,0.000358938,0.000358938,0.000358938
88,292.543,1.50092,0.71806,1.06636,0.97013,0.97987,0.98804,0.52938,1.53511,0.61672,1.15168,0.000355844,0.000355844,0.000355844
89,295.846,1.47106,0.72766,1.04279,0.96496,0.98056,0.98662,0.53542,1.52636,0.61895,1.14821,0.00035275,0.00035275,0.00035275
90,299.088,1.49316,0.72889,1.05669,0.97926,0.98531,0.98748,0.52347,1.62121,0.61388,1.18438,0.000349656,0.000349656,0.000349656
91,302.335,1.49695,0.73798,1.05596,0.97869,0.96835,0.98619,0.54186,1.50059,0.61397,1.1418,0.000346563,0.000346563,0.000346563
92,305.709,1.49332,0.72462,1.05642,0.97409,0.98886,0.98686,0.53493,1.5136,0.60241,1.13944,0.000343469,0.000343469,0.000343469
93,308.962,1.46933,0.7206,1.05106,0.96907,0.98535,0.98843,0.5036,1.64445,0.62308,1.19421,0.000340375,0.000340375,0.000340375
94,312.215,1.49113,0.73601,1.06799,0.97145,0.98222,0.988,0.52778,1.50875,0.61121,1.14151,0.000337281,0.000337281,0.000337281
95,315.471,1.47605,0.71605,1.06441,0.96081,0.98443,0.98612,0.54352,1.44929,0.60218,1.1137,0.000334188,0.000334188,0.000334188
96,318.711,1.46656,0.70618,1.04908,0.96999,0.97004,0.98403,0.51,1.57642,0.61414,1.15493,0.000331094,0.000331094,0.000331094
97,321.985,1.45048,0.6966,1.04632,0.96228,0.98175,0.98571,0.5141,1.60751,0.61982,1.18316,0.000328,0.000328,0.000328
98,325.282,1.50021,0.72255,1.04679,0.96884,0.98008,0.98285,0.50668,1.57754,0.62539,1.15892,0.000324906,0.000324906,0.000324906
99,328.549,1.46771,0.7143,1.03985,0.97364,0.98295,0.98546,0.52586,1.52797,0.60112,1.144,0.000321812,0.000321812,0.000321812
100,331.789,1.45367,0.70742,1.0399,0.96567,0.97825,0.98088,0.51593,1.54911,0.59853,1.15403,0.000318719,0.000318719,0.000318719
101,335.041,1.44906,0.69827,1.03909,0.96938,0.97982,0.98334,0.53589,1.4986,0.5867,1.13456,0.000315625,0.000315625,0.000315625
102,338.401,1.4377,0.69745,1.0354,0.97156,0.97587,0.98324,0.50059,1.62796,0.60339,1.17956,0.000312531,0.000312531,0.000312531
103,341.647,1.45061,0.7053,1.04493,0.97967,0.97843,0.98862,0.51405,1.6026,0.60566,1.17703,0.000309437,0.000309437,0.000309437
104,344.939,1.44914,0.69294,1.03373,0.98086,0.98349,0.98778,0.52819,1.51744,0.58763,1.14223,0.000306344,0.000306344,0.000306344
105,348.19,1.4234,0.69794,1.03933,0.97976,0.98298,0.9887,0.53528,1.50655,0.59038,1.1426,0.00030325,0.00030325,0.00030325
106,351.491,1.43453,0.69857,1.03321,0.96684,0.98857,0.98775,0.52031,1.54262,0.59014,1.15086,0.000300156,0.000300156,0.000300156
107,354.755,1.45205,0.7039,1.0428,0.9728,0.97905,0.98864,0.52536,1.53028,0.5909,1.14947,0.000297063,0.000297063,0.000297063
108,358.038,1.40882,0.6868,1.03668,0.96799,0.97905,0.98448,0.50702,1.57481,0.60029,1.15788,0.000293969,0.000293969,0.000293969
109,361.307,1.4276,0.68079,1.033,0.97611,0.97908,0.98521,0.53801,1.51326,0.59553,1.1437,0.000290875,0.000290875,0.000290875
110,364.574,1.41264,0.68921,1.02956,0.97653,0.98026,0.98493,0.52376,1.55411,0.59228,1.16127,0.000287781,0.000287781,0.000287781
111,367.822,1.42795,0.67243,1.02877,0.9722,0.96039,0.98751,0.53763,1.52626,0.60341,1.15225,0.000284688,0.000284688,0.000284688
112,371.174,1.4341,0.67972,1.03653,0.97687,0.9825,0.98399,0.53349,1.52979,0.58846,1.14842,0.000281594,0.000281594,0.000281594
113,374.456,1.41041,0.67728,1.02246,0.98074,0.98212,0.9878,0.5431,1.48629,0.56482,1.13456,0.0002785,0.0002785,0.0002785
114,377.747,1.42417,0.67916,1.02896,0.97288,0.97597,0.97326,0.535,1.4717,0.56387,1.13426,0.000275406,0.000275406,0.000275406
115,381.197,1.4302,0.67561,1.03162,0.97865,0.98538,0.98388,0.50894,1.61735,0.59497,1.18729,0.000272313,0.000272313,0.000272313
116,384.469,1.39187,0.67148,1.01921,0.97841,0.96715,0.98223,0.49875,1.62591,0.6017,1.19167,0.000269219,0.000269219,0.000269219
117,387.926,1.39216,0.66398,1.02202,0.96988,0.97635,0.98364,0.51331,1.57288,0.58688,1.16947,0.000266125,0.000266125,0.000266125
118,391.188,1.41986,0.66769,1.04507,0.9723,0.98351,0.98191,0.50716,1.5803,0.58422,1.16678,0.000263031,0.000263031,0.000263031
119,394.467,1.42811,0.68078,1.05002,0.96939,0.98597,0.98375,0.51932,1.54906,0.58657,1.15382,0.000259938,0.000259938,0.000259938
120,397.875,1.39643,0.67012,1.01733,0.97169,0.98273,0.98472,0.5204,1.57976,0.59017,1.17245,0.000256844,0.000256844,0.000256844
121,401.144,1.39765,0.66125,1.02106,0.97869,0.97916,0.98212,0.5243,1.56329,0.58087,1.17216,0.00025375,0.00025375,0.00025375
122,404.436,1.39017,0.6567,1.02176,0.97339,0.98128,0.98355,0.49914,1.61014,0.58906,1.18978,0.000250656,0.000250656,0.000250656
123,407.85,1.39523,0.65587,1.00837,0.97673,0.97479,0.98787,0.55376,1.47218,0.56607,1.13556,0.000247563,0.000247563,0.000247563
124,411.121,1.38424,0.65828,1.02883,0.97736,0.98111,0.98524,0.54231,1.48681,0.56904,1.13336,0.000244469,0.000244469,0.000244469
125,414.402,1.37248,0.65483,1.0172,0.97734,0.97935,0.98602,0.53097,1.51443,0.56703,1.14183,0.000241375,0.000241375,0.000241375
126,417.705,1.36929,0.65083,1.01246,0.97496,0.97046,0.98442,0.54182,1.46979,0.56103,1.12767,0.000238281,0.000238281,0.000238281
127,420.946,1.37196,0.64944,1.02724,0.97511,0.97309,0.98623,0.5244,1.59043,0.57513,1.16723,0.000235188,0.000235188,0.000235188
128,424.229,1.35465,0.64104,1.01359,0.97721,0.97359,0.98546,0.5167,1.60396,0.57888,1.17517,0.000232094,0.000232094,0.000232094
129,427.483,1.37284,0.64522,1.02071,0.9733,0.97701,0.98539,0.5219,1.58234,0.5811,1.1699,0.000229,0.000229,0.000229
130,430.917,1.37018,0.64804,1.01693,0.97946,0.97578,0.98588,0.52946,1.55901,0.56542,1.15704,0.000225906,0.000225906,0.000225906
131,434.205,1.35333,0.63086,1.00692,0.97346,0.97787,0.98699,0.53955,1.51018,0.56872,1.14342,0.000222813,0.000222813,0.000222813
132,437.493,1.33341,0.63544,0.99942,0.97736,0.97615,0.98707,0.54267,1.48346,0.55544,1.13956,0.000219719,0.000219719,0.000219719
133,440.772,1.35046,0.63076,1.00936,0.97565,0.978,0.98683,0.53429,1.50502,0.56216,1.14859,0.000216625,0.000216625,0.000216625
134,444.045,1.34763,0.63126,1.01503,0.97679,0.97584,0.98617,0.51606,1.58042,0.57279,1.17797,0.000213531,0.000213531,0.000213531
135,447.312,1.34178,0.63461,1.01273,0.97785,0.97856,0.99,0.51689,1.56385,0.57638,1.17263,0.000210437,0.000210437,0.000210437
136,450.58,1.33086,0.63719,1.00643,0.98001,0.98226,0.98883,0.52924,1.51877,0.56397,1.15109,0.000207344,0.000207344,0.000207344
137,453.837,1.34371,0.62402,0.99467,0.97876,0.98102,0.98959,0.51876,1.58426,0.5584,1.17775,0.00020425,0.00020425,0.00020425
